antecedents,consequents,support,confidence,lift
60 CAKE CASES DOLLY GIRL DESIGN,PACK OF 72 RETROSPOT CAKE CASES,0.010681191200396123,0.5279720279720279,9.56915456338533
PACK OF 72 RETROSPOT CAKE CASES,60 CAKE CASES DOLLY GIRL DESIGN,0.010681191200396123,0.19358974358974357,9.56915456338533
SET OF 20 VINTAGE CHRISTMAS NAPKINS,60 CAKE CASES VINTAGE CHRISTMAS,0.010681191200396123,0.3578199052132701,13.453457446808509
60 CAKE CASES VINTAGE CHRISTMAS,SET OF 20 VINTAGE CHRISTMAS NAPKINS,0.010681191200396123,0.401595744680851,13.453457446808509
60 TEATIME FAIRY CAKE CASES,72 SWEETHEART FAIRY CAKE CASES,0.012944754898493315,0.3303249097472924,11.118579164517792
72 SWEETHEART FAIRY CAKE CASES,60 TEATIME FAIRY CAKE CASES,0.012944754898493315,0.4357142857142857,11.118579164517792
60 TEATIME FAIRY CAKE CASES,PACK OF 60 DINOSAUR CAKE CASES,0.01358138218858315,0.34657039711191334,10.815597580510197
PACK OF 60 DINOSAUR CAKE CASES,60 TEATIME FAIRY CAKE CASES,0.01358138218858315,0.423841059602649,10.815597580510197
PACK OF 60 PINK PAISLEY CAKE CASES,60 TEATIME FAIRY CAKE CASES,0.016340100445639102,0.4325842696629213,11.038707256723317
60 TEATIME FAIRY CAKE CASES,PACK OF 60 PINK PAISLEY CAKE CASES,0.016340100445639102,0.4169675090252707,11.038707256723317
60 TEATIME FAIRY CAKE CASES,PACK OF 60 SPACEBOY CAKE CASES,0.010115300275871826,0.2581227436823105,11.262596380977849
PACK OF 60 SPACEBOY CAKE CASES,60 TEATIME FAIRY CAKE CASES,0.010115300275871826,0.44135802469135804,11.262596380977849
60 TEATIME FAIRY CAKE CASES,PACK OF 72 RETROSPOT CAKE CASES,0.01924029143382613,0.49097472924187724,8.898602240118485
PACK OF 72 RETROSPOT CAKE CASES,60 TEATIME FAIRY CAKE CASES,0.01924029143382613,0.34871794871794876,8.898602240118485
72 SWEETHEART FAIRY CAKE CASES,PACK OF 60 DINOSAUR CAKE CASES,0.011671500318313646,0.39285714285714285,12.260091453800063
PACK OF 60 DINOSAUR CAKE CASES,72 SWEETHEART FAIRY CAKE CASES,0.011671500318313646,0.3642384105960265,12.260091453800063
PACK OF 60 PINK PAISLEY CAKE CASES,72 SWEETHEART FAIRY CAKE CASES,0.010893400297092735,0.2883895131086142,9.707053682896378
72 SWEETHEART FAIRY CAKE CASES,PACK OF 60 PINK PAISLEY CAKE CASES,0.010893400297092735,0.36666666666666664,9.707053682896378
72 SWEETHEART FAIRY CAKE CASES,PACK OF 72 RETROSPOT CAKE CASES,0.012591073070665629,0.4238095238095238,7.681275946275946
PACK OF 72 RETROSPOT CAKE CASES,72 SWEETHEART FAIRY CAKE CASES,0.012591073070665629,0.2282051282051282,7.681275946275946
ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE CHOCOLATE,0.012449600339534555,0.26268656716417915,13.703321033210335
ALARM CLOCK BAKELIKE CHOCOLATE,ALARM CLOCK BAKELIKE GREEN,0.012449600339534555,0.6494464944649446,13.703321033210333
ALARM CLOCK BAKELIKE RED,ALARM CLOCK BAKELIKE CHOCOLATE,0.012944754898493315,0.2476319350473613,12.917980316474342
ALARM CLOCK BAKELIKE CHOCOLATE,ALARM CLOCK BAKELIKE RED,0.012944754898493315,0.6752767527675276,12.917980316474342
ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE IVORY,0.017330409563556623,0.3656716417910448,12.456626506024095
ALARM CLOCK BAKELIKE IVORY,ALARM CLOCK BAKELIKE GREEN,0.017330409563556623,0.5903614457831324,12.456626506024095
ALARM CLOCK BAKELIKE ORANGE,ALARM CLOCK BAKELIKE GREEN,0.013015491264058853,0.5954692556634305,12.564401294498383
ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE ORANGE,0.013015491264058853,0.27462686567164185,12.564401294498385
ALARM CLOCK BAKELIKE PINK,ALARM CLOCK BAKELIKE GREEN,0.019098818702695055,0.5625,11.86875
ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE PINK,0.019098818702695055,0.40298507462686567,11.86875
